fecha,exp_inf_12m,exp_tcn_12m,tcn,ipc,tot,embi
2009-06-01,4.353830201448341,771.8685495198466,764.3593107042336,426.3370654326094,449.02767150306306,297.54545454545456
2009-07-01,4.49733656427312,772.7535110475447,762.6903528368694,426.5306880837893,448.17439878546065,297.27272727272725
2009-08-01,4.478214277189325,769.6212639346408,761.0340413191029,426.81153711856376,452.44046053596463,261.14285714285717
2009-09-01,4.301159559324745,767.3223121121708,759.0326011289746,426.8861491519285,450.8265252268254,249.42857142857142
2009-10-01,4.2580447535118475,760.0902459542082,755.4286248804399,427.0571331545813,453.75866689691816,220.38095238095238
2009-11-01,3.922071315328133,760.0902459542082,758.7070043763656,427.17558151137086,456.34845844645673,214.73684210526315
2009-12-01,3.729578474369693,761.0852790395251,760.9391326937988,427.2594305523386,456.26605926093237,208.13636363636363
2010-01-01,3.763291480685086,761.7021841421965,758.8497501889307,427.5306002958661,459.95853908850216,210.6315789473684
2010-02-01,3.777736433402992,760.5890001053122,757.6150753100441,427.8004777705841,458.6426197659814,235.42105263157896
2010-03-01,3.6572980230840235,761.0852790395251,755.3807108365405,427.8285746412263,461.40497890412996,189
2010-04-01,3.5367143837291346,758.1413782958219,757.0626482692296,428.15398476303716,464.358802330577,172.76190476190476
2010-05-01,3.246719013750141,760.0902459542082,759.3051471026929,428.30481371414334,461.22858465086694,230.55
2010-06-01,3.275756423817229,759.0852123688582,756.1897617823728,428.56369828793805,461.5970870447643,223.04545454545453
2010-07-01,3.343477608623742,754.9609165154532,753.5299244835284,428.7555577272588,461.03087856924213,197.66666666666666
2010-08-01,3.3192967355763963,755.3810852008231,750.5424615682925,429.10088722529184,459.6295395765859,165.77272727272728
2010-09-01,3.203147083066376,752.8331766707247,749.859178573944,429.1313114257894,459.8400650716969,175.95238095238096
2010-10-01,3.140176313953164,751.2071245835466,750.1481768148519,429.3433208515465,462.342764010005,157.5
2010-11-01,3.174088578406246,752.2400231387124,753.0689516339145,429.7254347890504,465.05136327730077,151.73684210526315
2010-12-01,3.1498667059371015,752.294091807237,756.3127664182025,430.36335500801357,468.92764224579037,160.54545454545453
