fecha,exp_inf_12m,exp_tcn_12m,tcn,ipc,tot,embi,fed_mp,ebp,oil_shock
2006-10-01,4.329892439514757,781.9355025368169,776.687375171926,411.7022653482419,436.5094852039293,180.71428571428572,-9.3727e-4,-0.3554329846853035,0.187893952861134
2006-11-01,4.219704869978828,778.1092579771457,773.6671314285579,412.11722787109613,437.7315274389277,189.42857142857142,0,-0.3242242641597246,-1.12060803190702
2006-12-01,4.1141943331175215,777.0645234129177,772.3710742204456,412.3562733026931,441.85798875121316,181.75,-0.03226384,-0.45955924483486976,-0.685149190326507
2007-01-01,3.994160709294783,775.1690348664151,771.3245226660606,412.7122965804581,437.4942888260274,165,-0.03286742,-0.5201392195428849,-0.28751349110907
2007-02-01,4.008572353928558,775.5767170102998,770.8833851873185,413.32848149556185,439.7262042604133,163.26315789473685,0,-0.5151753592684882,-1.2700552354358
2007-03-01,4.090199132042574,774.5002803515839,769.6613178954418,414.2885241121776,441.2591122260977,171.0909090909091,-0.09181579,-0.3261551337343538,-0.237999413277095
2007-04-01,4.305948946044701,771.6460800176355,766.9522224396374,415.03096329529916,444.1155674913228,142.3,0,-0.32889487817399665,-0.46977970108676
2007-05-01,4.401688541677426,770.5262474866325,760.6677253277809,415.38230973305747,444.08180737617266,130.54545454545453,0.02696238,-0.5614617947057143,-0.48602890257806
2007-06-01,4.401688541677426,764.9692623711514,756.299392510563,415.63688080281327,447.41925540138124,108.38095238095238,0.02256686,-0.3512600609688099,-1.76788509480931
2007-07-01,4.2580447535118475,767.3223121121708,757.5523396120464,416.0507667192691,451.9891205349036,136.04761904761904,0,0.0585993092271142,0.247468709066892
2007-08-01,4.162167469081945,768.2597647271917,762.9625961561201,416.1560403979695,450.1740331039657,186.43478260869566,0.04728947,0.16463740581717534,-0.585905494201552
2007-09-01,4.162167469081945,771.8685495198466,765.452071161972,416.42696782186084,452.34787174095123,179.73684210526315,-0.18405531,0.09746065902039458,-0.899567145093945
2007-10-01,4.478214277189325,768.7080155783135,760.2118719597863,416.7315880990542,455.79811829707813,160.6818181818182,0.05238743,0.01594184253826203,0.0737491206649593
2007-11-01,4.210117601863533,764.9692623711514,762.3791135361782,417.3996646722213,461.85387553749155,196.2,0,0.3632040267629497,-1.6822155144417
2007-12-01,4.382547954002951,767.368812926773,760.7978117926308,417.8863281590796,461.68351310494387,188.15,0.12474138,0.5224075638050296,0.352140135468334
2008-01-01,4.478214277189325,765.254569269392,759.0574573213289,418.535601456761,462.01015672764856,240.76190476190476,-0.11061017,0.7399997551837005,-0.706778047017441
2008-02-01,4.688358589885046,764.9692623711514,755.1275670499639,419.47873723750286,470.1533984790747,249.4,0,0.9512692363000133,-0.414197676871679
2008-03-01,4.569012591711572,760.339933974067,752.1265641706342,420.04835502489675,472.2260911197861,263.05,0.05059022,1.173186748809924,-0.357107710852506
2008-04-01,4.592893188839973,759.179612242598,749.3387351689355,420.61163539553365,472.1192163971274,215.77272727272728,-0.05065622,0.6810525000733674,-0.682119735896009
2008-05-01,4.640637281415583,756.13817013798,748.2294020834305,421.5789823140181,477.3743079867502,179.0952380952381,0,0.6927640153169659,-0.111748698134231
2008-06-01,5.021771616061751,753.5611655510678,745.1066231000034,422.58646049090487,481.3783388261252,180.61904761904762,-0.02945722,0.832024811494001,0.32062781020179
2008-07-01,5.012260940321073,754.4332108053688,748.3289141625686,423.30409723336624,484.63835600655807,217.27272727272728,0,1.0864058353511077,0.831569989447823
2008-08-01,5.031281387358918,755.9106032082888,752.2231747751613,423.73488185584415,478.1130764794874,221.95238095238096,-0.02651237,1.2363036499501212,-0.270313548432675
2008-09-01,5.354076692802976,763.1189152146954,763.9843566301447,423.7234258928609,472.64402447157477,272.7142857142857,0.09156555,1.7830409371578506,-0.249756947465213
2008-10-01,5.259245011917063,769.6212639346408,773.5942401234072,424.37112153583473,456.48821065270084,533,0.02643651,3.400465678940805,3.94781200961331
2008-11-01,5.164323315183839,776.503883027626,775.431959307911,424.83221565477163,444.83898359901434,551.1111111111111,-0.14573989,3.123191881165818,2.32304958970498
2008-12-01,5.278218543896948,780.057265467065,771.8441687702056,425.2807647375303,432.1389185855626,538.0454545454545,-0.22233594,3.3238543648898773,2.36398554064685
2009-01-01,4.974209189481401,778.3224016336037,772.4716860535091,425.4546265448395,434.42629817460175,502.3,0.00630067,2.808599319152643,-0.193572805060369
