period,"Monthly – Colombia – Commodity Net Export Price Index, Individual Commodities Weighted by Ratio of Net Exports to Total Commodity Trade – Recent, monthly, rolling weights (IMF/PCTOT/M.CO.xm.R_RW_IX)"
1986-10,99.7467041015625
1986-11,96.0655136108398
1986-12,88.8970565795898
1987-01,85.0631408691406
1987-02,83.5864791870117
1987-03,77.0208969116211
1987-04,76.5908279418945
1987-05,79.6082992553711
1987-06,74.8585586547852
1987-07,72.7762756347656
1987-08,72.2048645019531
1987-09,74.2277603149414
1987-10,74.8583908081055
1987-11,77.2227935791016
1987-12,75.9175338745117
1988-01,75.5905380249023
1988-02,76.4191360473633
1988-03,74.3391036987305
1988-04,73.6206588745117
1988-05,73.1243591308594
1988-06,72.5649719238281
1988-07,68.9838638305664
1988-08,66.0508346557617
1988-09,68.7054138183594
1988-10,67.8785629272461
1988-11,67.9497146606445
1988-12,72.9755935668945
1989-01,74.2438888549805
1989-02,72.3330917358398
1989-03,74.9921722412109
1989-04,75.8314971923828
1989-05,74.1802749633789
1989-06,70.0373077392578
1989-07,60.1594657897949
1989-08,57.084529876709
1989-09,58.0536842346191
1989-10,55.0940361022949
1989-11,55.2260131835938
1989-12,55.6155624389648
1990-01,56.8211822509766
1990-02,57.7658348083496
1990-03,58.6147079467773
1990-04,57.4063034057617
1990-05,56.4379119873047
1990-06,54.4682273864746
1990-07,56.0267143249512
1990-08,63.1488037109375
1990-09,66.7587738037109
1990-10,67.1601791381836
1990-11,63.9732856750488
1990-12,62.305778503418
1991-01,59.7585945129395
1991-02,56.8241958618164
1991-03,57.5595970153809
1991-04,57.3031387329102
1991-05,55.451343536377
1991-06,54.496753692627
1991-07,53.4507064819336
1991-08,53.9406776428223
1991-09,54.3178634643555
1991-10,54.8403968811035
1991-11,54.7469596862793
1991-12,52.1040344238281
1992-01,52.2604484558105
1992-02,51.1671562194824
1992-03,50.9658470153809
1992-04,50.3538513183594
1992-05,49.7787704467773
1992-06,50.2089691162109
1992-07,50.4861030578613
1992-08,50.8345909118652
1992-09,50.6936340332031
1992-10,49.3390922546387
1992-11,49.0282402038574
1992-12,50.7652549743652
1993-01,51.6293830871582
1993-02,51.601634979248
1993-03,52.2623252868652
1993-04,50.9650955200195
1993-05,50.7359733581543
1993-06,49.8385047912598
1993-07,49.3495750427246
1993-08,50.7553176879883
1993-09,51.7644195556641
1993-10,51.2910232543945
1993-11,51.0123100280762
1993-12,50.0625076293945
1994-01,50.9849510192871
1994-02,52.0145683288574
1994-03,51.4005470275879
1994-04,53.4796600341797
1994-05,56.9274139404297
1994-06,58.0522499084473
1994-07,67.1719360351563
1994-08,66.3464202880859
1994-09,67.6097106933594
1994-10,65.2570648193359
1994-11,63.5188598632813
1994-12,63.194450378418
1995-01,61.9692306518555
1995-02,64.9135360717773
1995-03,64.291389465332
1995-04,64.1875228881836
1995-05,64.1861190795898
1995-06,61.5915565490723
1995-07,60.1783332824707
1995-08,61.7845001220703
1995-09,59.8294296264648
1995-10,57.4092788696289
1995-11,57.1425170898438
